recipe_id,user_id,comment,rating,created_at
"029db3d1-4f21-4e98-ab32-aef892d9fb73","550e8400-e29b-41d4-a716-446655440000","Amazing recipe! Perfect every time I make it.",5,"2025-05-15 14:30:00"
"029db3d1-4f21-4e98-ab32-aef892d9fb73","550e8400-e29b-41d4-a716-446655440001","Really good recipe! Minor tweaks needed for my taste.",4,"2025-05-20 18:45:00"
"029db3d1-4f21-4e98-ab32-aef892d9fb73","550e8400-e29b-41d4-a716-446655440002","Decent recipe, but nothing special.",3,"2025-05-25 12:15:00"
"f75e4594-f135-4331-a956-32297cb20ac4","550e8400-e29b-41d4-a716-446655440003","Absolutely delicious! My family loves this dish.",5,"2025-04-10 20:20:00"
"f75e4594-f135-4331-a956-32297cb20ac4","550e8400-e29b-41d4-a716-446655440004","Very tasty! Would make some small adjustments next time.",4,"2025-04-15 16:30:00"
"f75e4594-f135-4331-a956-32297cb20ac4","550e8400-e29b-41d4-a716-446655440005","Great recipe overall, just needed a bit more seasoning.",4,"2025-04-22 11:10:00"
"ab6ce13f-4a2b-4d82-993e-4b4f5d808463","550e8400-e29b-41d4-a716-446655440006","Outstanding! This is now my go-to recipe.",5,"2025-05-01 19:45:00"
"ab6ce13f-4a2b-4d82-993e-4b4f5d808463","550e8400-e29b-41d4-a716-446655440007","Good dish! Perhaps a little more cooking time needed.",4,"2025-05-05 13:20:00"
"e5201de7-cf30-4769-98bf-3cd69c763a2a","550e8400-e29b-41d4-a716-446655440008","Perfect flavors, easy to follow instructions.",5,"2025-04-28 10:15:00"
"e5201de7-cf30-4769-98bf-3cd69c763a2a","550e8400-e29b-41d4-a716-446655440009","Nice recipe! I added some extra spices to enhance flavor.",4,"2025-05-03 15:40:00"
"e5201de7-cf30-4769-98bf-3cd69c763a2a","550e8400-e29b-41d4-a716-446655440010","Average taste, followed instructions exactly.",3,"2025-05-10 09:25:00"
"e8a24dce-6266-4148-b19c-8eb7cee14ba0","550e8400-e29b-41d4-a716-446655440011","Incredible taste! Highly recommend to everyone.",5,"2025-04-12 17:50:00"
"e8a24dce-6266-4148-b19c-8eb7cee14ba0","550e8400-e29b-41d4-a716-446655440012","Very good! Could use a bit more sauce but otherwise perfect.",4,"2025-04-18 14:35:00"
"e8a24dce-6266-4148-b19c-8eb7cee14ba0","550e8400-e29b-41d4-a716-446655440013","OK recipe, might try something different next time.",3,"2025-04-25 11:20:00"
"e8a24dce-6266-4148-b19c-8eb7cee14ba0","550e8400-e29b-41d4-a716-446655440014","Not impressed, too bland for my taste.",2,"2025-05-02 16:10:00"
"0c5003e6-6e87-47fe-8b85-48646d935ec6","550e8400-e29b-41d4-a716-446655440015","Best recipe I've tried! Will definitely make again.",5,"2025-05-12 12:45:00"
"0c5003e6-6e87-47fe-8b85-48646d935ec6","550e8400-e29b-41d4-a716-446655440016","Solid recipe! The family enjoyed it with a few modifications.",4,"2025-05-18 19:30:00"
"ed6a19d8-84a4-49ef-a29a-b39631316ea9","550e8400-e29b-41d4-a716-446655440017","Fantastic! Even my picky eaters loved it.",5,"2025-04-20 08:15:00"
"ed6a19d8-84a4-49ef-a29a-b39631316ea9","550e8400-e29b-41d4-a716-446655440018","Good results! Next time I'll try adding more vegetables.",4,"2025-04-26 21:20:00"
"ed6a19d8-84a4-49ef-a29a-b39631316ea9","550e8400-e29b-41d4-a716-446655440019","It was fine, but not memorable.",3,"2025-05-08 13:55:00"
"8f5f300a-7e6c-4488-ac6b-7303057a7053","550e8400-e29b-41d4-a716-446655440020","Wonderful recipe, turned out exactly as expected.",5,"2025-04-14 16:40:00"
"8f5f300a-7e6c-4488-ac6b-7303057a7053","550e8400-e29b-41d4-a716-446655440021","Pretty good! A little bland but easy to fix with seasoning.",4,"2025-04-21 10:25:00"
"8f5f300a-7e6c-4488-ac6b-7303057a7053","550e8400-e29b-41d4-a716-446655440022","Mediocre results, expected more flavor.",3,"2025-04-30 18:15:00"
"189a1ebf-6292-41a9-ad6f-de36559d4c77","550e8400-e29b-41d4-a716-446655440023","Excellent! The instructions were clear and easy.",5,"2025-05-06 14:20:00"
"189a1ebf-6292-41a9-ad6f-de36559d4c77","550e8400-e29b-41d4-a716-446655440024","Nice dish! Would recommend with some personal touches.",4,"2025-05-14 11:30:00"
"42118423-efe8-4b3a-89ce-e3e217b93487","550e8400-e29b-41d4-a716-446655440025","Superb! This exceeded all my expectations.",5,"2025-04-16 20:10:00"
"42118423-efe8-4b3a-89ce-e3e217b93487","550e8400-e29b-41d4-a716-446655440026","Acceptable dish, though a bit plain for my liking.",3,"2025-04-24 15:45:00"
"ca854bb8-9c2c-4396-971f-eebed6097405","550e8400-e29b-41d4-a716-446655440027","Amazing recipe! Perfect every time I make it.",5,"2025-05-09 17:25:00"
"ca854bb8-9c2c-4396-971f-eebed6097405","550e8400-e29b-41d4-a716-446655440028","Really good recipe! Minor tweaks needed for my taste.",4,"2025-05-16 09:40:00"
"ca854bb8-9c2c-4396-971f-eebed6097405","550e8400-e29b-41d4-a716-446655440029","Fair recipe, could use more interesting ingredients.",3,"2025-05-22 12:30:00"
"9c35b238-7766-472d-85b9-dcd1127e5f08","550e8400-e29b-41d4-a716-446655440000","Outstanding! This is now my go-to recipe.",5,"2025-04-11 19:15:00"
"9c35b238-7766-472d-85b9-dcd1127e5f08","550e8400-e29b-41d4-a716-446655440001","Very tasty! Would make some small adjustments next time.",4,"2025-04-17 14:50:00"
"d350fff2-4c9a-4193-ae3e-4f0c3988f20a","550e8400-e29b-41d4-a716-446655440002","Perfect flavors, easy to follow instructions.",5,"2025-05-04 16:20:00"
"d350fff2-4c9a-4193-ae3e-4f0c3988f20a","550e8400-e29b-41d4-a716-446655440003","Good dish! Perhaps a little more cooking time needed.",4,"2025-05-11 08:35:00"
"d350fff2-4c9a-4193-ae3e-4f0c3988f20a","550e8400-e29b-41d4-a716-446655440004","Reasonable attempt, but lacks excitement.",3,"2025-05-19 20:45:00"
"4a0fa4de-cf61-439f-9761-9386eaba7287","550e8400-e29b-41d4-a716-446655440005","Incredible taste! Highly recommend to everyone.",5,"2025-04-13 11:10:00"
"4a0fa4de-cf61-439f-9761-9386eaba7287","550e8400-e29b-41d4-a716-446655440006","Nice recipe! I added some extra spices to enhance flavor.",4,"2025-04-19 17:25:00"
"bad788bb-7b34-4538-a79b-46d729001479","550e8400-e29b-41d4-a716-446655440007","Best recipe I've tried! Will definitely make again.",5,"2025-05-07 13:40:00"
"bad788bb-7b34-4538-a79b-46d729001479","550e8400-e29b-41d4-a716-446655440008","Very good! Could use a bit more sauce but otherwise perfect.",4,"2025-05-13 10:15:00"
"bad788bb-7b34-4538-a79b-46d729001479","550e8400-e29b-41d4-a716-446655440009","Standard dish, nothing to write home about.",3,"2025-05-21 18:50:00"
"059ad19d-9273-4d16-a48c-4c3fd2efbf56","550e8400-e29b-41d4-a716-446655440010","Fantastic! Even my picky eaters loved it.",5,"2025-04-23 15:30:00"
"059ad19d-9273-4d16-a48c-4c3fd2efbf56","550e8400-e29b-41d4-a716-446655440011","Solid recipe! The family enjoyed it with a few modifications.",4,"2025-04-29 12:20:00"
"bc67e3b5-0051-48ca-98ed-ee3663bcad35","550e8400-e29b-41d4-a716-446655440012","Wonderful recipe, turned out exactly as expected.",5,"2025-05-17 14:45:00"
"bc67e3b5-0051-48ca-98ed-ee3663bcad35","550e8400-e29b-41d4-a716-446655440013","Good results! Next time I'll try adding more vegetables.",4,"2025-05-24 09:30:00"
"bc67e3b5-0051-48ca-98ed-ee3663bcad35","550e8400-e29b-41d4-a716-446655440014","Not bad, but there are better versions out there.",3,"2025-05-28 16:15:00"
"1845b25a-2a73-42bf-97db-38685e41e0d8","550e8400-e29b-41d4-a716-446655440015","Excellent! The instructions were clear and easy.",5,"2025-04-27 11:25:00"
"1845b25a-2a73-42bf-97db-38685e41e0d8","550e8400-e29b-41d4-a716-446655440016","Pretty good! A little bland but easy to fix with seasoning.",4,"2025-05-01 19:40:00"
"d1dbdb82-be55-4722-97eb-8117046ab7ef","550e8400-e29b-41d4-a716-446655440017","Superb! This exceeded all my expectations.",5,"2025-05-15 08:20:00"
"d1dbdb82-be55-4722-97eb-8117046ab7ef","550e8400-e29b-41d4-a716-446655440018","Nice dish! Would recommend with some personal touches.",4,"2025-05-20 13:35:00"
"d1dbdb82-be55-4722-97eb-8117046ab7ef","550e8400-e29b-41d4-a716-446655440019","Recipe was disappointing, lacks flavor.",2,"2025-05-26 17:50:00"
