id,user_id,cuisine,title,description
"029db3d1-4f21-4e98-ab32-aef892d9fb73","550e8400-e29b-41d4-a716-446655440000","Italian","Spaghetti Carbonara","Classic Italian pasta dish with eggs, cheese, pancetta, and pepper"
"f75e4594-f135-4331-a956-32297cb20ac4","550e8400-e29b-41d4-a716-446655440001","Indian","Chicken Tikka Masala","Indian-inspired dish with spiced chicken in a creamy tomato sauce"
"ab6ce13f-4a2b-4d82-993e-4b4f5d808463","550e8400-e29b-41d4-a716-446655440002","Russian","Beef Stroganoff","Russian dish with sautéed beef in a sour cream sauce"
"e5201de7-cf30-4769-98bf-3cd69c763a2a","550e8400-e29b-41d4-a716-446655440003","Asian","Vegetable Stir Fry","Quick and healthy stir-fried vegetables with soy sauce"
"e8a24dce-6266-4148-b19c-8eb7cee14ba0","550e8400-e29b-41d4-a716-446655440004","Italian","Margherita Pizza","Traditional pizza with tomato, mozzarella, and basil"
"0c5003e6-6e87-47fe-8b85-48646d935ec6","550e8400-e29b-41d4-a716-446655440005","American","Caesar Salad","Crisp romaine lettuce with Caesar dressing and croutons"
"ed6a19d8-84a4-49ef-a29a-b39631316ea9","550e8400-e29b-41d4-a716-446655440006","Middle Eastern","Lentil Soup","Hearty soup made with lentils, vegetables, and spices"
"8f5f300a-7e6c-4488-ac6b-7303057a7053","550e8400-e29b-41d4-a716-446655440007","Thai","Pad Thai","Thai stir-fried noodles with shrimp, tofu, and peanuts"
"189a1ebf-6292-41a9-ad6f-de36559d4c77","550e8400-e29b-41d4-a716-446655440008","Mexican","Fish Tacos","Grilled fish with fresh toppings in a soft tortilla"
"42118423-efe8-4b3a-89ce-e3e217b93487","550e8400-e29b-41d4-a716-446655440009","Italian","Eggplant Parmesan","Baked eggplant with marinara sauce and melted cheese"
"ca854bb8-9c2c-4396-971f-eebed6097405","550e8400-e29b-41d4-a716-446655440010","Italian","Chicken Alfredo","Creamy pasta with grilled chicken and Alfredo sauce"
"9c35b238-7766-472d-85b9-dcd1127e5f08","550e8400-e29b-41d4-a716-446655440011","Mexican","Beef Tacos","Seasoned ground beef in a crispy taco shell"
"d350fff2-4c9a-4193-ae3e-4f0c3988f20a","550e8400-e29b-41d4-a716-446655440012","American","Vegetarian Chili","Spicy chili with beans, vegetables, and spices"
"4a0fa4de-cf61-439f-9761-9386eaba7287","550e8400-e29b-41d4-a716-446655440013","Italian","Shrimp Scampi","Garlic butter shrimp served over pasta"
"bad788bb-7b34-4538-a79b-46d729001479","550e8400-e29b-41d4-a716-446655440014","Greek","Greek Salad","Fresh salad with feta cheese, olives, and cucumbers"
"059ad19d-9273-4d16-a48c-4c3fd2efbf56","550e8400-e29b-41d4-a716-446655440015","American","Stuffed Bell Peppers","Bell peppers filled with rice, meat, and vegetables"
"bc67e3b5-0051-48ca-98ed-ee3663bcad35","550e8400-e29b-41d4-a716-446655440016","American","Chicken Noodle Soup","Comforting soup with chicken, noodles, and vegetables"
"1845b25a-2a73-42bf-97db-38685e41e0d8","550e8400-e29b-41d4-a716-446655440017","Indian","Vegetable Curry","Spicy curry with mixed vegetables and coconut milk"
"d1dbdb82-be55-4722-97eb-8117046ab7ef","550e8400-e29b-41d4-a716-446655440018","American","BBQ Ribs","Slow-cooked ribs with barbecue sauce"
"0bb44e60-c7c9-415c-bc5d-152e3fd73ba2","550e8400-e29b-41d4-a716-446655440019","American","Pancakes","Fluffy pancakes served with syrup and butter"
"7af75d1d-1ca3-4d9f-b311-cb4f781884b5","550e8400-e29b-41d4-a716-446655440020","American","Chocolate Cake","Rich and moist chocolate cake with frosting"
"e888452f-9273-48b3-97d1-112e09f63adb","550e8400-e29b-41d4-a716-446655440021","American","Apple Pie","Classic dessert with spiced apples in a flaky crust"
"50cf15b3-c4ad-4338-9098-ff68a496c506","550e8400-e29b-41d4-a716-446655440022","American","Banana Bread","Sweet bread made with ripe bananas"
"9592cd02-8679-43c8-967c-92ba71414c56","550e8400-e29b-41d4-a716-446655440023","American","Grilled Cheese Sandwich","Toasted bread with melted cheese"
"0d3f6833-ee7b-4c05-9771-17506df966c7","550e8400-e29b-41d4-a716-446655440024","American","Hamburger","Juicy beef patty in a bun with toppings"
"1f43ffcf-381f-451f-ba3d-ca28a39e7bee","550e8400-e29b-41d4-a716-446655440025","Japanese","Sushi Rolls","Japanese rice rolls with fish and vegetables"
"e7d3ef9d-1c98-4d69-950f-17d81709f230","550e8400-e29b-41d4-a716-446655440026","Asian","Fried Rice","Stir-fried rice with vegetables and protein"
"c3cf21c5-47b4-45c9-b6a5-2e95de62f4df","550e8400-e29b-41d4-a716-446655440027","Italian","Lasagna","Layered pasta with meat, cheese, and marinara sauce"
"1433a29a-589f-4940-9ccd-cbdfb673c304","550e8400-e29b-41d4-a716-446655440028","American","Chicken Wings","Crispy wings with a choice of sauces"
"0b9282c0-8fa6-47d0-96f1-10bf6b91a7b2","550e8400-e29b-41d4-a716-446655440029","French","Vegetable Quiche","Savory pie with eggs, cheese, and vegetables"
"10000000-0000-0000-0000-000000000001","550e8400-e29b-41d4-a716-446655440000","Italian","Mushroom Risotto","Creamy risotto with mushrooms and parmesan cheese"
"10000000-0000-0000-0000-000000000002","550e8400-e29b-41d4-a716-446655440001","Moroccan","Lamb Tagine","Moroccan stew with lamb, apricots, and almonds"
"10000000-0000-0000-0000-000000000003","550e8400-e29b-41d4-a716-446655440002","Asian","Tofu Stir Fry","Stir-fried tofu with mixed vegetables and soy sauce"
"10000000-0000-0000-0000-000000000004","550e8400-e29b-41d4-a716-446655440003","American","Pumpkin Soup","Smooth pumpkin soup with a hint of nutmeg"
"10000000-0000-0000-0000-000000000005","550e8400-e29b-41d4-a716-446655440004","British","Fish Pie","Baked pie with white fish, peas, and mashed potatoes"
"10000000-0000-0000-0000-000000000006","550e8400-e29b-41d4-a716-446655440005","Asian","Egg Fried Rice","Rice stir-fried with eggs, peas, and carrots"
"10000000-0000-0000-0000-000000000007","550e8400-e29b-41d4-a716-446655440006","Middle Eastern","Falafel Wrap","Chickpea falafel in pita with tahini sauce"
"10000000-0000-0000-0000-000000000008","550e8400-e29b-41d4-a716-446655440007","Italian","Pesto Pasta","Pasta tossed with basil pesto and pine nuts"
"10000000-0000-0000-0000-000000000009","550e8400-e29b-41d4-a716-446655440008","Mexican","Chicken Fajitas","Sautéed chicken with peppers and onions in tortillas"
"10000000-0000-0000-0000-000000000010","550e8400-e29b-41d4-a716-446655440009","Indian","Vegetable Samosas","Crispy pastry filled with spiced vegetables"
"10000000-0000-0000-0000-000000000011","550e8400-e29b-41d4-a716-446655440010","Mediterranean","Quinoa Salad","Healthy salad with quinoa, cherry tomatoes, and feta cheese"
"10000000-0000-0000-0000-000000000012","550e8400-e29b-41d4-a716-446655440011","American","BBQ Chicken Pizza","Pizza topped with BBQ chicken, onions, and cilantro"
"10000000-0000-0000-0000-000000000013","550e8400-e29b-41d4-a716-446655440012","Spanish","Seafood Paella","Spanish rice dish with shrimp, mussels, and saffron"
"10000000-0000-0000-0000-000000000014","550e8400-e29b-41d4-a716-446655440013","Indian","Eggplant Curry","Indian-style curry with eggplant and spices"
"10000000-0000-0000-0000-000000000015","550e8400-e29b-41d4-a716-446655440014","American","Turkey Chili","Lean turkey chili with beans and peppers"
"10000000-0000-0000-0000-000000000016","550e8400-e29b-41d4-a716-446655440015","Italian","Stuffed Zucchini","Zucchini boats filled with rice and vegetables"
"10000000-0000-0000-0000-000000000017","550e8400-e29b-41d4-a716-446655440016","Japanese","Salmon Teriyaki","Grilled salmon glazed with teriyaki sauce"
"10000000-0000-0000-0000-000000000018","550e8400-e29b-41d4-a716-446655440017","Italian","Vegetable Lasagna","Lasagna layered with vegetables and cheese"
"10000000-0000-0000-0000-000000000019","550e8400-e29b-41d4-a716-446655440018","Italian","Chicken Parmesan","Breaded chicken breast with marinara and cheese"
"10000000-0000-0000-0000-000000000020","550e8400-e29b-41d4-a716-446655440019","Mexican","Beef Enchiladas","Tortillas filled with beef and topped with enchilada sauce"
"20000000-0000-0000-0000-000000000001","550e8400-e29b-41d4-a716-446655440000","American","Sourdough Bread","Crusty sourdough bread with a tangy flavor"
"20000000-0000-0000-0000-000000000002","550e8400-e29b-41d4-a716-446655440001","French","Baguette","Classic French baguette with a crisp crust"
"20000000-0000-0000-0000-000000000003","550e8400-e29b-41d4-a716-446655440002","European","Rye Bread","Dense rye bread with caraway seeds"
"20000000-0000-0000-0000-000000000004","550e8400-e29b-41d4-a716-446655440003","Italian","Focaccia","Italian flatbread topped with olive oil and herbs"
"20000000-0000-0000-0000-000000000005","550e8400-e29b-41d4-a716-446655440004","Italian","Ciabatta","Rustic Italian bread with an open crumb"
"20000000-0000-0000-0000-000000000006","550e8400-e29b-41d4-a716-446655440005","French","Brioche","Rich, buttery French bread with a tender crumb"
"20000000-0000-0000-0000-000000000007","550e8400-e29b-41d4-a716-446655440006","Jewish","Challah","Sweet braided bread, traditional for Jewish holidays"
"20000000-0000-0000-0000-000000000008","550e8400-e29b-41d4-a716-446655440007","Indian","Naan","Soft, pillowy Indian flatbread baked in a tandoor"
"20000000-0000-0000-0000-000000000009","550e8400-e29b-41d4-a716-446655440008","Middle Eastern","Pita Bread","Round Middle Eastern flatbread with a pocket"
"20000000-0000-0000-0000-000000000010","550e8400-e29b-41d4-a716-446655440009","American","Cornbread","Moist, crumbly bread made with cornmeal"
"30000000-0000-0000-0000-000000000101","550e8400-e29b-41d4-a716-446655440001","American","Grilled Salmon","Salmon fillet grilled with lemon and dill"
"30000000-0000-0000-0000-000000000102","550e8400-e29b-41d4-a716-446655440002","British","Fish and Chips","Battered white fish fried and served with fries"
"30000000-0000-0000-0000-000000000103","550e8400-e29b-41d4-a716-446655440003","American","Tuna Casserole","Baked casserole with tuna, noodles, and peas"
"30000000-0000-0000-0000-000000000104","550e8400-e29b-41d4-a716-446655440004","Japanese","Miso Glazed Cod","Cod fillet baked with a sweet miso glaze"
"30000000-0000-0000-0000-000000000105","550e8400-e29b-41d4-a716-446655440005","American","Seafood Stew","Hearty stew with shrimp, mussels, and white fish"